Date,TSLA
09/06/2011,1.841333
10/06/2011,1.857333
13/06/2011,1.895333
14/06/2011,1.906667
15/06/2011,1.821333
16/06/2011,1.766667
17/06/2011,1.766667
20/06/2011,1.734
21/06/2011,1.835333
22/06/2011,1.814
23/06/2011,1.847333
24/06/2011,1.838
27/06/2011,1.830667
28/06/2011,1.874
29/06/2011,1.886
30/06/2011,1.942
01/07/2011,1.934667
05/07/2011,1.942667
06/07/2011,1.930667
07/07/2011,1.982
08/07/2011,1.920667
11/07/2011,1.89
12/07/2011,1.878
13/07/2011,1.909333
14/07/2011,1.840667
15/07/2011,1.838667
18/07/2011,1.815333
19/07/2011,1.859333
20/07/2011,1.912667
21/07/2011,1.913333
22/07/2011,1.952667
25/07/2011,1.899333
26/07/2011,1.866667
27/07/2011,1.842667
28/07/2011,1.878
29/07/2011,1.878
01/08/2011,1.918
02/08/2011,1.822667
03/08/2011,1.813333
04/08/2011,1.65
05/08/2011,1.616
08/08/2011,1.576
09/08/2011,1.670667
10/08/2011,1.588
11/08/2011,1.686667
12/08/2011,1.754
15/08/2011,1.748667
16/08/2011,1.74
17/08/2011,1.722
18/08/2011,1.617333
19/08/2011,1.486667
22/08/2011,1.463333
23/08/2011,1.530667
24/08/2011,1.591333
25/08/2011,1.540667
26/08/2011,1.582
29/08/2011,1.647333
30/08/2011,1.642
31/08/2011,1.649333
01/09/2011,1.6
02/09/2011,1.538
06/09/2011,1.529333
07/09/2011,1.589333
08/09/2011,1.574
09/09/2011,1.531333
12/09/2011,1.525333
13/09/2011,1.605333
14/09/2011,1.622667
15/09/2011,1.654667
16/09/2011,1.72
19/09/2011,1.718
20/09/2011,1.734
21/09/2011,1.723333
22/09/2011,1.708667
23/09/2011,1.758667
26/09/2011,1.701333
27/09/2011,1.746
28/09/2011,1.639333
29/09/2011,1.608
30/09/2011,1.626
03/10/2011,1.582
04/10/2011,1.577333
05/10/2011,1.691333
06/10/2011,1.797333
07/10/2011,1.799333
10/10/2011,1.858667
11/10/2011,1.840667
12/10/2011,1.853333
13/10/2011,1.862667
14/10/2011,1.87
17/10/2011,1.828
18/10/2011,1.889333
19/10/2011,1.838
20/10/2011,1.822667
21/10/2011,1.868667
24/10/2011,1.903333
25/10/2011,1.883333
26/10/2011,1.865333
27/10/2011,1.917333
28/10/2011,1.991333
31/10/2011,1.958
01/11/2011,1.925333
02/11/2011,1.914
03/11/2011,2.164
04/11/2011,2.154
07/11/2011,2.084667
08/11/2011,2.122667
09/11/2011,2.058667
10/11/2011,2.088667
11/11/2011,2.242667
14/11/2011,2.214667
15/11/2011,2.262
16/11/2011,2.329333
17/11/2011,2.245333
18/11/2011,2.173333
21/11/2011,2.117333
22/11/2011,2.138
23/11/2011,2.096667
25/11/2011,2.110667
28/11/2011,2.170667
29/11/2011,2.116667
30/11/2011,2.182667
01/12/2011,2.173333
02/12/2011,2.22
05/12/2011,2.294667
06/12/2011,2.324667
07/12/2011,2.279333
08/12/2011,2.059333
09/12/2011,2.069333
12/12/2011,2.027333
13/12/2011,1.963333
14/12/2011,1.902
15/12/2011,1.908
16/12/2011,1.866667
19/12/2011,1.85
20/12/2011,1.86
21/12/2011,1.838
22/12/2011,1.851333
23/12/2011,1.86
27/12/2011,1.904667
28/12/2011,1.900667
29/12/2011,1.915333
30/12/2011,1.904
03/01/2012,1.872
04/01/2012,1.847333
05/01/2012,1.808
06/01/2012,1.794
09/01/2012,1.816667
10/01/2012,1.841333
11/01/2012,1.882
12/01/2012,1.883333
13/01/2012,1.519333
17/01/2012,1.773333
18/01/2012,1.787333
19/01/2012,1.784
20/01/2012,1.773333
23/01/2012,1.784667
24/01/2012,1.828
25/01/2012,1.864667
26/01/2012,1.929333
27/01/2012,1.955333
30/01/2012,1.971333
31/01/2012,1.938
01/02/2012,1.972
02/02/2012,2.016667
03/02/2012,2.076667
06/02/2012,2.12
07/02/2012,2.106667
08/02/2012,2.128667
09/02/2012,2.172
10/02/2012,2.073333
13/02/2012,2.099333
14/02/2012,2.211333
15/02/2012,2.24
16/02/2012,2.278667
17/02/2012,2.331333
21/02/2012,2.3
22/02/2012,2.281333
23/02/2012,2.302
24/02/2012,2.25
27/02/2012,2.241333
28/02/2012,2.254
29/02/2012,2.227333
01/03/2012,2.294
02/03/2012,2.269333
05/03/2012,2.251333
06/03/2012,2.207333
07/03/2012,2.208
08/03/2012,2.204667
09/03/2012,2.316
12/03/2012,2.400667
13/03/2012,2.406
14/03/2012,2.352667
15/03/2012,2.333333
16/03/2012,2.354667
19/03/2012,2.332
20/03/2012,2.330667
21/03/2012,2.343333
22/03/2012,2.293333
23/03/2012,2.272
26/03/2012,2.493333
27/03/2012,2.529333
28/03/2012,2.523333
29/03/2012,2.488667
30/03/2012,2.482667
02/04/2012,2.438667
03/04/2012,2.534
04/04/2012,2.333333
05/04/2012,2.298667
09/04/2012,2.21
10/04/2012,2.164
11/04/2012,2.206
12/04/2012,2.229333
13/04/2012,2.239333
16/04/2012,2.15
17/04/2012,2.149333
18/04/2012,2.177333
19/04/2012,2.210667
20/04/2012,2.210667
23/04/2012,2.129333
24/04/2012,2.121333
25/04/2012,2.194
26/04/2012,2.232667
27/04/2012,2.222667
30/04/2012,2.208667
01/05/2012,2.252
02/05/2012,2.262667
03/05/2012,2.164
04/05/2012,2.122
07/05/2012,2.164667
08/05/2012,2.012667
09/05/2012,2.004
10/05/2012,2.197333
11/05/2012,2.15
14/05/2012,2.004
15/05/2012,1.962
16/05/2012,1.945333
17/05/2012,1.904667
18/05/2012,1.837333
21/05/2012,1.918
22/05/2012,2.053333
23/05/2012,2.068
24/05/2012,2.018667
25/05/2012,1.987333
29/05/2012,2.112667
30/05/2012,2.027333
31/05/2012,1.966667
01/06/2012,1.876667
04/06/2012,1.858667
05/06/2012,1.860667
06/06/2012,1.948
07/06/2012,1.928667
08/06/2012,2.005333
11/06/2012,1.941333
12/06/2012,1.977333
13/06/2012,1.984667
14/06/2012,1.959333
15/06/2012,1.994
18/06/2012,2.122667
19/06/2012,2.139333
20/06/2012,2.252
21/06/2012,2.146
22/06/2012,2.252667
25/06/2012,2.207333
26/06/2012,2.107333
27/06/2012,2.130667
28/06/2012,2.094
29/06/2012,2.086
02/07/2012,2.026667
03/07/2012,2.044
05/07/2012,2.082
06/07/2012,2.066
09/07/2012,2.099333
10/07/2012,2.084667
11/07/2012,2.100667
12/07/2012,2.18
13/07/2012,2.283333
16/07/2012,2.397333
17/07/2012,2.223333
18/07/2012,2.143333
19/07/2012,2.151333
20/07/2012,2.119333
23/07/2012,2.044
24/07/2012,1.989333
25/07/2012,1.93
26/07/2012,1.875333
27/07/2012,1.967333
30/07/2012,1.823333
31/07/2012,1.828
01/08/2012,1.75
02/08/2012,1.74
03/08/2012,1.818
06/08/2012,1.884667
07/08/2012,2.016667
08/08/2012,1.939333
09/08/2012,1.960667
10/08/2012,1.996
13/08/2012,2.078
14/08/2012,1.961333
15/08/2012,1.96
16/08/2012,2.02
17/08/2012,2.000667
20/08/2012,1.967333
21/08/2012,1.940667
22/08/2012,1.996667
23/08/2012,2.048667
24/08/2012,1.966667
27/08/2012,1.888
28/08/2012,1.912667
29/08/2012,1.894
30/08/2012,1.894
31/08/2012,1.901333
04/09/2012,1.876
05/09/2012,1.862667
06/09/2012,1.903333
07/09/2012,1.956667
10/09/2012,1.824667
11/09/2012,1.853333
12/09/2012,1.885333
13/09/2012,1.965333
14/09/2012,2.026
17/09/2012,2.169333
18/09/2012,2.089333
19/09/2012,2.07
20/09/2012,2.06
21/09/2012,2.001333
24/09/2012,2.044
25/09/2012,1.844
26/09/2012,1.836
27/09/2012,1.899333
28/09/2012,1.952
01/10/2012,1.944
02/10/2012,1.986667
03/10/2012,1.953333
04/10/2012,1.96
05/10/2012,1.926
08/10/2012,1.95
09/10/2012,1.891333
10/10/2012,1.893333
11/10/2012,1.888
12/10/2012,1.842667
15/10/2012,1.822
16/10/2012,1.870667
17/10/2012,1.921333
18/10/2012,1.869333
19/10/2012,1.849333
22/10/2012,1.856667
23/10/2012,1.892667
24/10/2012,1.828
25/10/2012,1.834667
26/10/2012,1.825333
31/10/2012,1.875333
01/11/2012,1.95
02/11/2012,1.928
05/11/2012,2.1
06/11/2012,2.076667
07/11/2012,2.102667
08/11/2012,2.087333
09/11/2012,2.021333
12/11/2012,2.071333
13/11/2012,2.107333
14/11/2012,2.092
15/11/2012,2.054667
16/11/2012,2.122667
19/11/2012,2.194667
20/11/2012,2.2
21/11/2012,2.164667
23/11/2012,2.142
26/11/2012,2.151333
27/11/2012,2.143333
28/11/2012,2.215333
29/11/2012,2.246
30/11/2012,2.254667
03/12/2012,2.308
04/12/2012,2.26
05/12/2012,2.247333
06/12/2012,2.26
07/12/2012,2.278
10/12/2012,2.304667
11/12/2012,2.352
12/12/2012,2.350667
13/12/2012,2.240667
14/12/2012,2.254
17/12/2012,2.293333
18/12/2012,2.306
19/12/2012,2.307333
20/12/2012,2.295333
