DATE,GOLD,OIL
01/03/1984,373.05,29.967
01/04/1984,342.35,28.752
01/05/1984,348.25,29.25
01/06/1984,343.75,29.311
01/07/1984,333.5,28.765
01/08/1984,329,28.098
01/09/1984,308.3,25.429
01/10/1984,306.65,25.641
01/11/1984,287.75,27.271
01/12/1984,329.25,28.238
01/01/1985,321.35,28.805
01/02/1985,314,27.623
01/03/1985,317.75,27.143
01/04/1985,327.5,27.329
01/05/1985,333.25,27.755
01/06/1985,325.75,28.289
01/07/1985,325.1,29.538
01/08/1985,325.3,30.813
01/09/1985,326.8,27.228
01/10/1985,350.5,22.945
01/11/1985,338.15,15.442
01/12/1985,344,12.618
01/01/1986,345.75,12.847
01/02/1986,343.2,15.444
01/03/1986,346.75,13.469
01/04/1986,357.5,11.575
01/05/1986,384.7,15.092
01/06/1986,423.2,14.913
01/07/1986,401,14.852
01/08/1986,389.5,15.207
01/09/1986,388.75,16.076
01/10/1986,400.5,18.656
01/11/1986,405.85,17.726
01/12/1986,421,18.305
01/01/1987,453.25,18.643
01/02/1987,451,19.415
01/03/1987,447.3,20.034
01/04/1987,462.5,21.355
01/05/1987,453.4,20.274
01/06/1987,459.5,19.526
01/07/1987,468.8,19.848
01/08/1987,492.5,18.92
01/09/1987,484.1,17.241
01/10/1987,458,17.16
01/11/1987,426.15,16.765
01/12/1987,456.95,16.217
01/01/1988,449,17.875
01/02/1988,455.5,17.438
01/03/1988,436.55,16.53
01/04/1988,436.8,15.498
01/05/1988,427.75,15.524
01/06/1988,396.7,14.467
01/07/1988,412.4,13.798
01/08/1988,422.6,13.977
01/09/1988,410.25,16.266
01/10/1988,394,17.983
01/11/1988,387,17.826
01/12/1988,383.2,19.445
01/01/1989,377.55,21.04
01/02/1989,361.8,20.032
01/03/1989,373,20.005
01/04/1989,368.3,19.644
01/05/1989,359.8,18.522
01/06/1989,366.5,19.594
01/07/1989,375.3,20.091
01/08/1989,408.15,19.82
01/09/1989,398.6,21.088
01/10/1989,415.05,22.641
01/11/1989,407.7,22.108
01/12/1989,368.5,20.418
01/01/1990,367.75,18.582
01/02/1990,363.05,18.237
01/03/1990,352.2,16.871
01/04/1990,372.3,18.638
01/05/1990,387.75,27.174
01/06/1990,408.4,33.687
01/07/1990,379.5,35.922
01/08/1990,384.85,32.3
01/09/1990,386.2,27.337
01/10/1990,366,24.959
01/11/1990,362.7,20.523
01/12/1990,355.65,19.86
01/01/1991,357.75,20.823
01/02/1991,360.4,21.24
01/03/1991,368.35,20.195
01/04/1991,362.85,21.42
01/05/1991,347.4,21.688
01/06/1991,354.9,21.857
01/07/1991,357.45,23.228
01/08/1991,366.3,22.465
01/09/1991,353.15,19.517
01/10/1991,354.1,18.82
01/11/1991,353.1,18.995
01/12/1991,341.7,18.916
01/01/1992,336.35,20.243
01/02/1992,337.5,20.94
01/03/1992,343.4,22.375
01/04/1992,357.85,21.759
01/05/1992,340,21.35
01/06/1992,349,21.902
01/07/1992,339.25,21.688
01/08/1992,334.2,20.342
01/09/1992,332.9,19.407
01/10/1992,330.45,19.075
01/11/1992,327.6,20.053
01/12/1992,337.8,20.347
01/01/1993,354.3,20.27
01/02/1993,377.45,19.94
01/03/1993,378.45,19.07
01/04/1993,401.75,17.866
01/05/1993,371.55,18.009
01/06/1993,355.5,17.514
01/07/1993,369.6,18.145
01/08/1993,370.9,16.699
01/09/1993,391.75,14.51
01/10/1993,377.9,15
01/11/1993,381.55,14.78
01/12/1993,389.2,14.66
01/01/1994,376.45,16.38
01/02/1994,387.6,17.88
01/03/1994,388.25,19.07
01/04/1994,384,19.65
01/05/1994,385.75,18.38
01/06/1994,394.85,17.46
01/07/1994,383.85,17.71
01/08/1994,383.1,18.1
01/09/1994,383.25,17.16
01/10/1994,374.9,17.99
01/11/1994,376.4,18.53
01/12/1994,392,18.55
01/01/1995,389.75,19.87
01/02/1995,384.3,19.74
01/03/1995,387.05,18.42
01/04/1995,383.35,17.3
01/05/1995,382.35,18.03
01/06/1995,384,18.23
01/07/1995,382.65,17.44
01/08/1995,387.8,17.99
01/09/1995,387,19.04
01/10/1995,405.55,18.88
01/11/1995,400.65,19.07
01/12/1995,396.35,21.36
01/01/1996,391.3,23.57
01/02/1996,390.55,21.25
01/03/1996,382,20.45
01/04/1996,385.3,21.32
01/05/1996,386.45,21.96
01/06/1996,379,23.99
01/07/1996,379.5,24.9
01/08/1996,371.3,23.71
01/09/1996,369.25,25.39
01/10/1996,345.5,25.17
01/11/1996,358.6,22.21
01/12/1996,348.15,20.99
01/01/1997,340.15,19.72
01/02/1997,345.6,20.83
01/03/1997,334.55,19.17
01/04/1997,326.35,19.63
01/05/1997,325.35,19.93
01/06/1997,332.1,19.79
01/07/1997,311.4,21.26
01/08/1997,296.8,20.17
01/09/1997,290.2,18.32
01/10/1997,304.85,16.71
01/11/1997,297.4,16.06
01/12/1997,301,15.02
01/01/1998,310.7,15.44
01/02/1998,293.6,14.86
01/03/1998,296.3,13.66
01/04/1998,288.85,14.08
01/05/1998,273.4,13.36
01/06/1998,293.85,14.95
01/07/1998,292.3,14.39
01/08/1998,294.7,12.85
01/09/1998,287.8,11.28
01/10/1998,285.4,12.47
01/11/1998,287.05,12.01
01/12/1998,279.45,14.66
01/01/1999,286.6,17.34
01/02/1999,268.6,17.75
01/03/1999,261,17.89
01/04/1999,255.6,20.07
01/05/1999,254.8,21.26
01/06/1999,299,23.88
01/07/1999,299.1,22.64
01/08/1999,291.35,24.97
01/09/1999,290.25,26.08
01/10/1999,283.3,27.18
01/11/1999,293.65,29.35
01/12/1999,276.75,29.89
01/01/2000,275.05,25.74
01/02/2000,272.25,28.78
01/03/2000,288.15,31.83
01/04/2000,276.75,29.77
01/05/2000,277,31.22
01/06/2000,273.65,33.88
01/07/2000,264.5,33.08
01/08/2000,269.1,34.4
01/09/2000,274.45,28.46
01/10/2000,264.5,29.58
01/11/2000,266.7,29.61
01/12/2000,257.7,27.24
01/01/2001,263.15,27.41
01/02/2001,267.5,28.64
01/03/2001,270.6,27.6
01/04/2001,265.9,26.45
01/05/2001,273,27.47
01/06/2001,293.1,25.88
01/07/2001,278.75,22.21
01/08/2001,275.5,19.67
01/09/2001,276.5,19.33
01/10/2001,282.3,19.67
01/11/2001,296.85,20.74
01/12/2001,301.4,24.42
01/01/2002,308.2,26.27
01/02/2002,326.6,27.02
01/03/2002,318.5,25.52
01/04/2002,304.65,26.94
01/05/2002,312.8,28.38
01/06/2002,323.7,29.67
01/07/2002,316.9,28.85
01/08/2002,319.05,26.27
01/09/2002,347.2,29.42
01/10/2002,367.5,32.94
01/11/2002,347.45,35.87
01/12/2002,334.85,33.55
01/01/2003,336.75,28.25
01/02/2003,361.4,28.14
01/03/2003,346,30.72
01/04/2003,354.75,30.76
01/05/2003,375.6,31.59
01/06/2003,388,28.29
01/07/2003,386.25,30.33
01/08/2003,398.35,31.09
01/09/2003,416.25,32.15
01/10/2003,399.75,34.27
01/11/2003,395.85,34.74
01/12/2003,423.7,36.76
01/01/2004,388.5,36.69
01/02/2004,393.25,40.28
01/03/2004,395.8,38.02
01/04/2004,391.4,40.69
01/05/2004,407.25,44.94
01/06/2004,415.65,45.95
01/07/2004,425.55,53.13
01/08/2004,453.4,48.46
01/09/2004,435.6,43.33
01/10/2004,422.15,46.84
01/11/2004,435.45,47.97
01/12/2004,427.5,54.31
01/01/2005,435.7,53.04
01/02/2005,414.45,49.83
01/03/2005,437.1,56.26
01/04/2005,429,58.7
01/05/2005,433.25,64.97
01/06/2005,473.25,65.57
01/07/2005,470.75,62.37
01/08/2005,495.65,58.3
01/09/2005,513,59.43
01/10/2005,568.75,65.51
01/11/2005,556,61.63
01/12/2005,582,62.9
01/01/2006,644,69.69
01/02/2006,653,70.94
01/03/2006,613.5,70.96
01/04/2006,632.5,74.41
01/05/2006,623.5,73.05
01/06/2006,599.25,63.87
01/07/2006,603.75,58.88
01/08/2006,646.7,59.37
01/09/2006,632,62.03
01/10/2006,650.5,54.57
01/11/2006,664.2,59.26
01/12/2006,661.75,60.56
01/01/2007,677,63.97
01/02/2007,659.1,63.46
01/03/2007,650.5,67.48
01/04/2007,665.5,74.18
01/05/2007,672,72.39
01/06/2007,743,79.93
01/07/2007,789.5,86.2
01/08/2007,783.5,94.62
01/09/2007,833.75,91.73
01/10/2007,923.25,92.95
01/11/2007,971.5,95.35
01/12/2007,933.5,105.56
01/01/2008,871,112.57
01/02/2008,885.75,125.39
01/03/2008,930.25,133.93
01/04/2008,918,133.44
01/05/2008,833,116.61
01/06/2008,884.5,103.9
01/07/2008,730.75,76.65
01/08/2008,814.5,57.44
01/09/2008,869.75,41.02
01/10/2008,919.5,41.74
01/11/2008,952,39.16
01/12/2008,916.5,47.98
01/01/2009,883.25,49.79
01/02/2009,975.5,59.16
01/03/2009,934.5,69.68
01/04/2009,939,64.09
01/05/2009,955.5,71.06
01/06/2009,995.75,69.46
01/07/2009,1040,75.82
